state,zipcode,hash_codes,closed_won_percentage
VA,24016,0061K00000mR3oA,0.0
CA,92868,"0061K00000lUGm2, 0061K00000h7yug",50.0
VA,23298,0061K00000lUCBW,0.0
TX,76104,"0061K00000lUBat, 0061K00000lRWHg",0.0
VT,5401,0061K00000lU5Vh,0.0
IA,51101,0061K00000lU5Sv,0.0
IL,60611,0061K00000lU495,0.0
TX,78861,0061K00000lTZCs,0.0
NC,27835,0061K00000lTVij,0.0
FL,34102,0061K00000lTTWt,0.0
SC,29425,0061K00000lTtGU,0.0
NY,10701,0061K00000lTT2E,0.0
RI,2908,0061K00000lTSii,0.0
NE,68506,0061K00000lTSeW,0.0
CA,90033,0061K00000lTOLQ,0.0
IN,46176,0061K00000lTLvi,0.0
AL,36617,0061K00000lTkhM,0.0
NJ,8837,0061K00000lTijP,0.0
AZ,85008,0061K00000lTid7,0.0
TX,75246,0061K00000lTCSu,0.0
GA,30720,"0061K00000lT83q, 0061K00000lScir",0.0
KY,41017,0061K00000lT5lQ,0.0
GA,30303,0061K00000lT0UU,0.0
MO,64108,0061K00000lSyU9,0.0
VA,22903,"0061K00000lSTwZ, 0061K00000k0SV9",0.0
AZ,86409,"0061K00000lSTui, 0061K00000kZCTo",0.0
TX,77954,0061K00000lSpcr,0.0
CO,81611,0061K00000lSpcq,0.0
CA,94533,0061K00000lSpb9,0.0
NY,11570,0061K00000lSoYw,0.0
NY,10940,0061K00000lSNIt,0.0
SC,29506,0061K00000lSelV,0.0
MD,21801,0061K00000lSekN,0.0
IA,51537,0061K00000lSekh,0.0
KY,40223,0061K00000lSejF,0.0
NJ,8053,0061K00000lScce,0.0
WA,98004,0061K00000lSauT,0.0
OH,43402,0061K00000lS1S0,100.0
WI,54956,0061K00000lRyiO,0.0
OR,97467,0061K00000lRyE9,0.0
IN,46703,0061K00000lRyC4,0.0
NE,68198,0061K00000lRY1U,0.0
MI,49503,0061K00000lRXzn,0.0
IL,61602,0061K00000lRW2L,0.0
IL,61801,0061K00000lRVJl,0.0
PA,19020,0061K00000lRSQ2,0.0
TN,38401,0061K00000lRSQ1,0.0
TX,76011,0061K00000lRSOj,0.0
OH,45219,"0061K00000lRRz0, 0061K00000jV3Ou",0.0
MA,2138,0061K00000lRRhB,100.0
FL,32714,0061K00000lRRcz,0.0
TX,77030,0061K00000lRQxb,100.0
CO,80112,0061K00000lRnT0,0.0
SC,29646,0061K00000lRmJS,0.0
CA,91010,0061K00000lRLbH,0.0
GA,30912,0061K00000lRKfD,0.0
TN,37403,0061K00000lRjSu,0.0
FL,32256,"0061K00000lRJ2c, 0061K00000lRDxS",0.0
CA,92354,0061K00000lRICd,0.0
WA,98405,"0061K00000lRIBo, 0061K00000lRcxO",0.0
NJ,7960,0061K00000lRFy8,0.0
UT,84132,0061K00000lReig,0.0
MA,2215,0061K00000lRcwu,0.0
TX,78229,0061K00000lRc1h,0.0
NY,10456,0061K00000lR9dm,0.0
AR,72202,0061K00000lR4ZU,0.0
CO,80021,0061K00000lR0jz,0.0
NJ,7450,0061K00000lQy8P,0.0
WA,98274,"0061K00000lQnMr, 0061K00000jV3Ou",0.0
NJ,8822,0061K00000lQkOe,0.0
OH,43202,0061K00000lQjqv,0.0
VA,98683,0061K00000lQJFA,0.0
CA,97504,"0061K00000lQHhA, 0061K00000lRc1h",0.0
VA,94143,0061K00000lQHgz,0.0
TX,48912,0061K00000lQHgf,0.0
VT,45429,0061K00000lQGrs,0.0
IA,66160,0061K00000lQGr1,0.0
IL,30066,0061K00000lQGqh,0.0
TX,37067,0061K00000lQGpZ,0.0
NC,91786,0061K00000lQGpt,0.0
FL,65802,0061K00000lQGpA,0.0
SC,19087,0061K00000lQfz0,0.0
NY,14203,0061K00000lQEXP,0.0
RI,94598,0061K00000lQEWv,0.0
NE,30117,0061K00000lQeMa,0.0
CA,19406,"0061K00000lQEgL, 0061K00000kOxor",0.0
IN,92868,0061K00000lQ8eP,0.0
AL,19104,0061K00000l5Gwu,0.0
NJ,33901,0061K00000kZCTo,0.0
AZ,72601,0061K00000kZ3Fq,0.0
TX,64506,"0061K00000kXZoD, 0061K00000c4njV",0.0
GA,38105,0061K00000kwvSE,0.0
KY,33309,"0061K00000ksMo0, 0061K00000h7yuN",0.0
GA,76011,"0061K00000ksMnz, 0061K00000lRyiO",50.0
MO,38801,0061K00000ksLmF,0.0
VA,94305,0061K00000ksL3T,0.0
VA,14642,0061K00000ksGKu,0.0
CA,96813,"0061K00000ks6KG, 0061K00000lQHgf",0.0
VA,29303,0061K00000ks2qa,0.0
TX,37232,0061K00000ks1yM,0.0
VT,37920,"0061K00000ks1xJ, 0061K00000eHsXS",0.0
IA,34239,0061K00000krZvn,100.0
IL,6106,0061K00000krTI9,0.0
TX,12208,0061K00000krr1m,0.0
NC,5701,0061K00000krcQr,0.0
FL,39216,0061K00000kqP3K,0.0
SC,10017,0061K00000kqIEW,0.0
NY,99669,0061K00000kqeiJ,0.0
RI,65301,0061K00000kqaAJ,0.0
